"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/09/04 1:55:42 pm CET","Richard","Wang","2022","Habitat International","","128","","Yes","Yes","Yes","Yes","County or Municipality","Guanxi China","Raster (cells, pixels, patches)","No","","","5","Years","Humans","","","","","No","","No","","","No"
"2024/09/04 2:08:23 pm CET","Richard","Schwarz","2009","Technological Forecasting and Social Change","","76","497-511","Yes","Yes","Yes","Yes","Multiple Counties or Region","13225 KM2","Raster (cells, pixels, patches)","Yes","2383","","15","Years","Households","11915","Households","1500000","","No","","Yes","to save computing time","","No"
"2024/09/04 2:14:56 pm CET","Richard","Palmer","2015","Technological Forecasting and Social Change","","99","106-131","I cannot be sure from reading the paper","Yes","Yes","Yes","City","Sinus-Milieus? Italy","Paper does not say","","","","","","Households","","","","","","","No","","","No"
"2024/09/04 3:00:36 pm CET","Richard","Loibl","2003","Environmental Modelling and Software","","18","553-563","Yes","Yes","Yes","Yes","City","Vienna Region, Austria","Raster (cells, pixels, patches)","No","","","","Years","Households","","","","","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/09/04 3:16:11 pm CET","Richard","Mostafizi","2019","Transportation Research Record","","","1-13","Yes","Yes","Yes","Yes","City","Seaside, Oregon","Paper does not say","","","","","","Humans","","","","","No","","","","more complicated decision making algorithms","No"
"2024/09/04 3:23:01 pm CET","Doug","Jon-And","2019","PLoS ONE","","","","Yes","Yes","Yes","No","Nation","Mozambique","Not a spatially explicit model","No","","","36500","Days","Humans","","","","","No","","No","","","No"
"2024/09/04 3:24:54 pm CET","Richard","Morrison","2022","Transportation Research Record","2676","11","520-532","Yes","Yes","Yes","Yes","City","New Brunswick Canada","Raster (cells, pixels, patches)","No","","","156600","Days","Humans","11449","","","25","No","","No","","","No"
"2024/09/04 3:40:16 pm CET","Richard","Masoud","2023","Transportation Research Record","2677","1","843-859","Yes","Yes","Yes","Yes","City","Kelowna British Columbia Canada","Vector (polygons, lines, points)","No","","","","","Human-Operated Machines","","Human-Operated Machines","","4","No","","","","more runs of the model","No"
"2024/09/05 9:48:52 am CET","Doug","Perez","2019","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","Montreal","Mix of Raster and Vector","No","","","4","Years","Humans","","","","1200","No","","No","","more complicated decision making algorithms;more data;More cvalidation","No"
"2024/09/05 2:52:31 pm CET","Doug","Shi","2020","PLoS ONE","","","","Yes","Yes","Yes","Yes","County or Municipality","Metropolitan Atlanta","","","","","365","Days","Humans","","","","1260","No","","No","","","No"
"2024/09/05 3:43:21 pm CET","Doug","Shi","2020","PLoS ONE","","","","Yes","Yes","Yes","Yes","Nation","China","","","","","730","Days","Humans","2197","Humans","","100","No","","No","","including other social processes;more data","No"
"2024/09/05 4:19:30 pm CET","Doug","Keskinocak","2020","PLoS ONE","","","","Yes","Yes","Yes","Yes","Multiple Counties or Region","Georgia State","","","","","225","","Humans","10519000","Humans","10519000","30","No","","No","","","Maybe"
"2024/09/06 10:20:36 am CET","Doug","Sewell","2020","PLoS ONE","","","","I cannot be sure from reading the paper","Yes","Yes","Yes","Multiple Counties or Region","District of Columbia","Other","","","","","Days","","","","","","No","","No","","","No"
"2024/09/06 2:29:47 pm CET","Doug","Nelson","2020","PLoS ONE","","","","Yes","Yes","Yes","Yes","Multiple Counties or Region","Nugaal, Ethiopian Border","Raster (cells, pixels, patches)","Yes","490000","","132","Months","","","Households","","","Yes","Organization's computing cluster","No","","","Yes"
"2024/09/09 11:47:20 am CET","Ric","Perez","2018","PLoS ONE","14","7","e0219188","Yes","Yes","Yes","Yes","City","Montreal","Raster (cells, pixels, patches)","","3000000","","4","Years","Humans;Households","12000","Humans","12000","1200","No","","No","","","No"
"2024/09/09 12:06:41 pm CET","Ric","Shi","2020","PLoS ONE","15","8","e0236716","Yes","Yes","Yes","No","","","Not a spatially explicit model","","","","730","Days","Humans","2197","Humans","30000","800","No","","No","","","No"
"2024/09/09 12:27:27 pm CET","Ric","Rypdal","2021","PLoS ONE","16","2","e0238268.","Yes","Yes","Yes","Yes","City","Two Norwegian cities of Oslo and Tromsø in","Not a spatially explicit model","","","","300","Hours","Humans","755000","Humans","755000","711","No","","No","","","No"
"2024/09/09 12:45:28 pm CET","Ric","Carvalho","2020","PLoS ONE","15","12","e0242676","Yes","Yes","Yes","Yes","County or Municipality","America","Not a spatially explicit model","","","","110","Years","Households","10000000","Households","","16","No","","No","","",""
"2024/09/09 1:07:18 pm CET","Ric","Vojnovic","2020","PLoS ONE","15","12","e0243501","Yes","Yes","Yes","Yes","City","Detroit (Michigan), U.S","","","","","","Weeks","Households;Organizations (businesses, NGOs, etc.)","188","Households","188","","No","","No","lack of data; Other modes of validation, participatory approaches to ABM","","No"
"2024/09/09 1:18:47 pm CET","Ric","Gomez","2021","PLoS ONE","16","2","e0245787","Yes","Yes","Yes","Yes","City","Bogotá city, the capital of Colombia","Other","","","","24000","Hours","Humans;Organizations (businesses, NGOs, etc.)","998213","Humans","7412566","20","No","","No","lack of data","","No"
"2024/09/09 1:27:52 pm CET","Ric","Hernández-Hernández","2021","PLoS ONE","16","8","e0256363","Yes","Yes","Yes","Yes","County or Municipality","7 Schools in Yucatan Mexico","Not a spatially explicit model","","","","100","Days","Humans;Municipal/Local Governments","4136","Humans","4136","300","No","","No","lack of data","More links in network to include family of student","No"
"2024/09/09 2:01:55 pm CET","Ric","Thompson","2021","PLoS ONE","16","12","e0261330","Yes","Yes","Yes","Yes","Nation","Luxembourg","Raster (cells, pixels, patches)","Yes","10344","","18576","Minutes","Humans;Households;Organizations (businesses, NGOs, etc.)","626108","Humans","626108","30","No","","Yes","","more agents;more runs of the model;more data;more / other scenarios;covid transmission probability ,vaccine efficacy","Yes"
"2024/09/09 2:09:20 pm CET","Ric","Ferguson","2022","PLoS ONE","17","5","e0268118","Yes","Yes","Yes","Yes","City","four districts  in Mexico City","Other","N/A","","","1826","Days","Humans;Municipal/Local Governments","218163","Humans","218163","1000","No","","No","lack of data","more data","No"
"2024/09/09 2:29:05 pm CET","Ric","Xie","2022","PLoS ONE","17","9","e0275241","Yes","Yes","Yes","Yes","City","Qipan Township and Yamansu Township China","Raster (cells, pixels, patches)","No","","","","Years","Humans;Organizations (businesses, NGOs, etc.)","","Humans","25279","","No","","","","","No"
"2024/09/09 2:33:06 pm CET","Ric","Miller,","2011","Transportation Research Record","2255.1","","91-99","No","Yes","","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/09/10 11:02:04 am CET","Ric","Babatunde","2023","Energies","16","","1720","Yes","Yes","Yes","Yes","Nation","Malaysia","Not a spatially explicit model","","","","35","Years","Households;Organizations (businesses, NGOs, etc.);Municipal/Local Governments;National Governments","","Organizations","44","","No","","No","","","No"
"2024/09/10 11:16:41 am CET","Ric","Shu","2015","Energies","8","","13284–13307","Yes","Yes","","Yes","County or Municipality","Jiangsu Province in China","Raster (cells, pixels, patches)","","","","20","Years","Organizations (businesses, NGOs, etc.)","","Organizations","","","No","","No","","","No"
"2024/09/10 12:04:00 pm CET","Ric","Kim","2018","International Journal of Environmental Research and Public Health","15","","2369","Yes","Yes","Yes","Yes","Nation","Korea","Other","","","","150","Days","Humans","1000","Humans","","1000","No","","No","","","No"
"2024/09/10 12:16:12 pm CET","Ric","Wu","2022","International Journal of Environmental Research and Public Health","19","","16393","Yes","Yes","Yes","Yes","Town","Longchi Town, China","Raster (cells, pixels, patches)","","","","","","Humans;Households","2541","Humans","2541","250","No","","No","","","No"
"2024/09/10 1:18:03 pm CET","Ric","Torkjazi","2019","Sustainability","11","","5391","Yes","Yes","Yes","Yes","City","Chicago","Other","No","","","","Hours","Humans;Organizations (businesses, NGOs, etc.)","1000","Humans","","","No","","","","","No"
"2024/09/11 10:44:24 am CET","Ric","Anastasiadis","2020","Sustainability","13","","168","Yes","Yes","Yes","Yes","City","chicago","Other","","","","","Minutes","Humans;Organizations (businesses, NGOs, etc.)","3500","Humans","62147","","Yes","Personal computer (desktop/laptop)","No","","","Yes"
"2024/09/11 11:11:51 am CET","Ric","Sandoval-Félix","2021","Sustainability","13","","714","Yes","Yes","Yes","Yes","City","Ensenada, México","Mix of Raster and Vector","Yes","10000","","10","Years","Humans;Households;Organizations (businesses, NGOs, etc.)","","Humans","363260","50","No","","No","","","Yes"
"2024/09/11 11:22:06 am CET","Ric","Al-Shaery","2021","Sustainability","13","","6923","Yes","Yes","Yes","Yes","","Haj arear/space/building[s]","Raster (cells, pixels, patches)","","","","","Seconds","Humans","83000","Humans","","75","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/09/11 1:51:15 pm CET","Ric","Koppelaar","2021","Sustainability","13","","7466","Yes","Yes","Yes","Yes","City","Szeged (Hungary), Alcalá de Henares (Spain), Çankaya Municipality (Turkey) and Milan (Italy)","Vector (polygons, lines, points)","No","","","13140000","Minutes","Humans;Organizations (businesses, NGOs, etc.)","5600","Humans","","48","No","","No","","including other social processes;more data","No"
"2024/09/12 11:58:57 am CET","Richard","Ciofi degli Atti","2008","PLoS ONE","3","3","1-11","Yes","Yes","Yes","Yes","Nation","Italy","Raster (cells, pixels, patches)","No","","","","Hours","Humans","57000000","Humans","57000000","50","No","","No","","","Maybe"
"2024/09/12 12:27:28 pm CET","Richard","Marshall","2012","PLoS ONE","7","9","1-16","Yes","Yes","Yes","Yes","City","New York City Metropolitan Statistical Area USA","Not a spatially explicit model","","","","10","Years","Humans","100000","Humans","11700000","","No","","","","","No"
"2024/09/12 12:34:09 pm CET","Richard","Nsoesie","2013","PLoS ONE","8","6","1-10","No","Yes","Yes","Yes","County or Municipality","Montgomery Virginia, Miami, Seattle USA","Not a spatially explicit model","","","","","","","","","","","No","","","","","No"
"2024/09/18 1:41:43 pm CET","Richard","Wu","2014","PLoS ONE","9","5","1-13","Yes","Yes","Yes","Yes","City","Shanghai China","Raster (cells, pixels, patches)","Yes","5836","","24","Hours","Humans","120000","Humans","2230366","","No","","No","","","No"
"2024/09/18 2:01:44 pm CET","Richard","Huff","2015","PLoS ONE","10","11","1-21","Yes","Yes","Yes","Yes","County or Municipality","Penobscot County, Maine, U.S.","Raster (cells, pixels, patches)","No","","","400","Years","Humans","40","Humans","40","100","No","","No","","more complicated decision making algorithms","No"
"2024/09/18 2:18:26 pm CET","Richard","Sobkowicz","2016","PLoS ONE","11","5","1-32","Yes","Yes","Yes","Yes","Nation","Poland","Raster (cells, pixels, patches)","Yes","160000","","1180","Days","Humans","","Humans","","","No","","No","","","No"
"2024/09/18 2:35:34 pm CET","Richard","Haas","2016","PLoS ONE","11","11","1-26","Yes","Yes","Yes","Yes","Nation","South Africa","Not a spatially explicit model","N/A","","","","","","","","","","No","","No","","","No"
"2024/09/18 2:52:07 pm CET","Richard","Gantenberg","2018","PLoS ONE","13","7","1-18","I cannot be sure from reading the paper","Yes","Yes","Yes","City","Rhode Island, U.S.","Not a spatially explicit model","N/A","","","120","Months","Humans","","Humans","","1000","No","","No","","more complicated decision making algorithms","No"
"2024/09/18 3:00:54 pm CET","Richard","Shi","2020","PLoS ONE","15","8","1-22","Yes","Yes","Yes","Yes","County or Municipality","Georgia USA","Vector (polygons, lines, points)","No","","","","","","","","","30","No","","No","","","No"
"2024/09/18 3:09:38 pm CET","Richard","Keskinocak","2020","PLoS ONE","15","10","1-16","Yes","Yes","Yes","Yes","County or Municipality","Georgia USA","Vector (polygons, lines, points)","","","","","Days","Humans","","Humans","10519000","30","No","","No","","more complicated decision making algorithms","No"
"2024/09/18 3:28:31 pm CET","Richard","Sewell","2020","PLoS ONE","15","11","1-18","No","Yes","Yes","Yes","County or Municipality","District of Columbia USA","","","","","","","","","","","","","","","","","No"
"2024/09/18 3:48:03 pm CET","Richard","Gomez","2021","PLoS ONE","16","2","1-16","Yes","Yes","Yes","Yes","City","Bogota, Columbia","Vector (polygons, lines, points)","Yes","","1000","100","Days","Humans","1000000","","7412566","20","No","","No","","","Maybe"
"2024/09/18 3:57:32 pm CET","Richard","Fosco","2021","PLoS ONE","16","6","1-23","Yes","Yes","Yes","Yes","City","Santiago Chile","Vector (polygons, lines, points)","Yes","","52","600","Hours","Humans","540445","Humans","8106675","100","No","","No","","","No"
"2024/09/18 4:14:40 pm CET","Richard","Alagoz","2021","PLoS ONE","16","7","1-12","Yes","Yes","Yes","Yes","County or Municipality","Dane County Wisconsin, Milwaukee, New York City USA","Vector (polygons, lines, points)","No","","","","","Humans","","Humans","","100","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/09/18 4:23:40 pm CET","Richard","Chiba","2021","PLoS ONE","16","9","","Yes","Yes","Yes","Yes","Nation","Japan","Vector (polygons, lines, points)","","","","","Days","Humans","75614","Humans","125000000","","No","","","","more complicated decision making algorithms;including other social processes","No"
"2024/09/18 4:38:13 pm CET","Richard","Thompson","2021","PLoS ONE","16","12","1-51","Yes","Yes","Yes","Yes","Nation","Luxembourg","Raster (cells, pixels, patches)","No","","","18576","Minutes","Humans","156527","Humans","626108","10","No","","No","","","Maybe"
"2024/09/18 4:48:09 pm CET","Richard","Gonzalez-Mon","2021","PLoS ONE","16","12","1-26","Yes","Yes","Yes","Yes","County or Municipality","Baja California Sur, Mexico","Vector (polygons, lines, points)","","","","1040","Weeks","Organizations (businesses, NGOs, etc.)","15","Organizations","15","300","No","","No","","","No"
"2024/09/18 4:56:10 pm CET","Richard","Sanches","2022","PLoS ONE","17","1","1-17","Yes","Yes","Yes","Yes","Multiple Counties or Region","South America case studies","Raster (cells, pixels, patches)","Yes","2401","","","","Households","49","Households","49","200","No","","No","","","No"
"2024/09/18 5:07:58 pm CET","Richard","Cocucci","2022","PLoS ONE","17","3","1-28","Yes","Yes","Yes","Yes","City","Ciudad Autonoma de Buenos Aires Argentina","Vector (polygons, lines, points)","Yes","","15","","Days","Humans","30000","Humans","300000","","No","","No","","","No"
"2024/09/20 10:25:23 am CET","Richard","Vermeer","2022","PLoS ONE","17","10","1-27","Yes","Yes","Yes","Yes","City","Chicago USA","Vector (polygons, lines, points)","No","","","15","Years","Humans","6500","Humans","65000","44","No","","No","","","No"
"2024/09/20 10:37:37 am CET","Richard","Saval","2023","PLoS ONE","18","3","1-27","Yes","Yes","Yes","Yes","City","Hanoi Vietnam","Vector (polygons, lines, points)","No","","","","Seconds","Human-Operated Machines","1903","Human-Operated Machines","1903","100","No","","No","","","Maybe"
"2024/09/20 12:19:11 pm CET","Richard","Yoon","2010","Journal of Asian Architecture and Building Engineering","9","1","163-170","Yes","Yes","Yes","Yes","City","Shimokitazawa, Tokyo, Japan","Vector (polygons, lines, points)","Yes","","182","24","Hours","Humans","22000","Humans","","2","No","","No","","","Maybe"
"2024/09/23 10:11:10 am CET","Richard","Lee","2013","Journal of Asian Architecture and Building Engineering","12","1","41-48","Yes","Yes","Yes","Yes","","Tate Gallery, Architectural Space","Raster (cells, pixels, patches)","Yes","10000","","1000","","Humans","100","Humans","100","","No","","","","","Maybe"
"2024/09/23 10:21:21 am CET","Richard","Olivella-Rosell","2015","Energies","8","","4160-4187","Yes","Yes","Yes","Yes","City","Barcelona, Spain","Vector (polygons, lines, points)","No","","","","","Human-Operated Machines","","","","","No","","No","","","No"
"2024/09/23 10:28:06 am CET","Richard","Luo","2018","Energies","11","","1-17","Yes","Yes","Yes","Yes","Multiple Counties or Region","Shandong Province of China","Not a spatially explicit model","N/A","","","","","Humans","","","","","No","","No","","","No"
"2024/09/23 10:33:20 am CET","Richard","Song","2020","Energies","13","","1-22","Yes","Yes","Yes","Yes","Town","Harbin, China","Not a spatially explicit model","N/A","","","","","","","","","","No","","No","","","No"
"2024/09/23 10:41:29 am CET","Richard","Babatunde","2023","Energies","15","","1-15","I cannot be sure from reading the paper","I cannot be sure from reading the paper","No","N/A (This paper should be excluded)","","","Not a spatially explicit model","","","","","Years","","","","","","","","","","","No"
"2024/09/23 10:49:53 am CET","Richard","Kim","2018","International Journal of Environmental Research and Public Health","15","","1-17","Yes","Yes","I cannot be sure from reading the paper","No","Nation","South Korea","Vector (polygons, lines, points)","","","","","","Humans","","Humans","","1000","No","","No","","","No"
"2024/09/23 11:34:17 am CET","Richard","Luo","2019","International Journal of Environmental Research and Public Health","16","","1-12","Yes","Yes","I cannot be sure from reading the paper","No","","","Vector (polygons, lines, points)","No","","","","","Humans","10000","Humans","","","No","","No","","","No"
"2024/09/23 11:43:18 am CET","Richard","Kim","2021","International Journal of Environmental Research and Public Health","18","","1-11","Yes","Yes","Yes","Yes","Nation","South Korea","Vector (polygons, lines, points)","No","","","200","Days","Humans","5000","Humans","","1000","No","","No","","","Maybe"
"2024/09/23 11:50:55 am CET","Richard","Li","2022","International Journal of Environmental Research and Public Health","19","","1-19","Yes","Yes","Yes","Yes","Catchment of a River Basin","Xin'an River Basin, China","Not a spatially explicit model","","","","20","Years","Humans","1500","","","30","No","","No","","","No"
"2024/09/23 12:02:27 pm CET","Richard","Li","2018","Sustainability","10","","1-15","I cannot be sure from reading the paper","Yes","I cannot be sure from reading the paper","Yes","County or Municipality","Black Belt Region, Mississippi, County of Rural Eastern Alabama, USA","Vector (polygons, lines, points)","No","","","","","","613","Humans","","","No","","No","","","No"
"2024/09/23 12:25:39 pm CET","Richard","Liyanage","2020","Sustainability","12","","1-20","Yes","Yes","Yes","Yes","City","Melbourne Australia","Raster (cells, pixels, patches)","No","63","","","","Human-Operated Machines","46562","Humans","","","No","","No","","","No"
"2024/09/23 12:36:48 pm CET","Richard","Jiang","2021","Sustainability","13","","1-22","Yes","Yes","Yes","Yes","City","Detroit USA","Vector (polygons, lines, points)","No","","","20","Years","Households","10601","Households","1060100","50","No","","No","","larger spatial extent;more fine-grained spatial representation;more complicated decision making algorithms;more data","Maybe"
"2024/09/23 12:48:12 pm CET","Richard","Chiou","2021","Sustainability","13","","1-29","Yes","Yes","Yes","Yes","City","Shida Might Street Market Taiwan","Raster (cells, pixels, patches)","Yes","8601","","","Seconds","","150","Humans","","30","No","","No","","","No"
"2024/09/23 2:14:26 pm CET","Richard","Tama","2022","Sustainability","14","","1-14","I cannot be sure from reading the paper","Yes","Yes","Yes","Nation","Indonesia","Not a spatially explicit model","N/A","","","50","Years","Organizations (businesses, NGOs, etc.)","3500","Organizations","","","No","","No","","","No"
"2024/09/23 2:25:39 pm CET","Richard","Gebrehiwot","2022","Sustainability","14","","1-23","I cannot be sure from reading the paper","Yes","Yes","Yes","County or Municipality","Guildford County North Carolina USA","Raster (cells, pixels, patches)","No","","","20","Years","Households","1374","Households","","","No","","No","","","No"
"2024/09/23 2:35:53 pm CET","Richard","Truong","2023","Sustainability","15","","1-22","Yes","Yes","Yes","Yes","Catchment of a River Basin","Mekong Delta China","Raster (cells, pixels, patches)","No","","","35","Years","","","","","","No","","No","","","No"
"2024/09/23 2:47:32 pm CET","Richard","Bai","2015","Sustainability","7","","14802-14833","Yes","Yes","Yes","Yes","Town","Qianjingou Town Inner Mongolia","Raster (cells, pixels, patches)","Yes","17056","","30","Years","Humans","17056","","17056","","No","","No","","","No"
"2024/09/23 4:19:22 pm CET","Richard","Brown","2013","Journal of Artificial Societies and Social Simulation","16","2","1-21","Yes","Yes","Yes","Yes","City","Boston USA","Not a spatially explicit model","N/A","","","20","Years","Humans","","","","250","No","","No","","","No"
"2024/09/23 4:28:55 pm CET","Richard","Demarest","2013","Journal of Artificial Societies and Social Simulation","16","4","1-26","Yes","Yes","Yes","Yes","Village","Limpopo Province South Africa","Vector (polygons, lines, points)","No","","","1095","Days","Households","317","Households","457","100","No","","No","","","No"
"2024/09/23 4:36:31 pm CET","Richard","Silverman","2013","Journal of Artificial Societies and Social Simulation","16","4","1-17","Yes","Yes","Yes","Yes","Nation","UK","Paper does not say","No","","","","","Humans","","","","","No","","No","","","No"
"2024/09/23 4:48:32 pm CET","Richard","Pizzitutti","2014","Journal of Artificial Societies and Social Simulation","13","1","1-24","Yes","Yes","Yes","Yes","Nation","Galapagos","Vector (polygons, lines, points)","No","","","15","Days","Humans","200000","Humans","200000","10","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/09/23 4:59:02 pm CET","Richard","Bohensky","2014","Journal of Artificial Societies and Social Simulation","17","1","1-20","Yes","Yes","Yes","Yes","Nation","South Africa","Raster (cells, pixels, patches)","Yes","1946","","100","Years","","","Organizations","","","No","","No","","","No"
"2024/09/23 5:06:12 pm CET","Richard","Zellner","2014","Journal of Artificial Societies and Social Simulation","17","4","1-16","Yes","Yes","Yes","Yes","Village","Chicago Wilderness Groups USA","Not a spatially explicit model","N/A","","","200","Days","Humans","8","Humans","8","20","No","","No","","","No"
"2024/09/24 11:30:38 am CET","Richard","Santos","2016","Journal of Artificial Societies and Social Simulation","19","3","1-27","Yes","Yes","I cannot be sure from reading the paper","Yes","","San Jeronimo vegetable garden","Paper does not say","No","","","","","Humans","","","","","No","","No","","","No"
"2024/09/24 11:38:59 am CET","Richard","Sobkowicz","2017","Journal of Artificial Societies and Social Simulation","20","2","1-20","Yes","Yes","Yes","Yes","","","Not a spatially explicit model","Yes","289","","50","Years","Humans","","","","","No","","No","","","Maybe"
"2024/09/24 11:46:46 am CET","Richard","Krebs","2017","Journal of Artificial Societies and Social Simulation","20","2","1-24","Yes","Yes","Yes","Yes","Nation","Germany","Paper does not say","Yes","8000","","84","Months","Households","300000","Households","40000000","","No","","No","","","Maybe"
"2024/09/24 11:55:30 am CET","Richard","El-Tawil","2017","Journal of Artificial Societies and Social Simulation","20","4","1-14","Yes","Yes","Yes","Yes","","Station nightclub building Rhode Island","Vector (polygons, lines, points)","","","","150","Seconds","Humans","452","Humans","465","20","No","","No","","","Maybe"
"2024/09/24 12:37:42 pm CET","Ric","Ionescu","2021","Sustainability","13","","10277","Yes","Yes","Yes","Yes","","A school building in Romania","Raster (cells, pixels, patches)","No","","","","Seconds","Humans","180","Humans","","1600","No","","No","","","Yes"
"2024/09/24 12:40:16 pm CET","Richard","Pasimeni","2019","Journal of Artificial Societies and Social Simulation","22","1","1-20","Yes","Yes","Yes","Yes","Nation","Italy","Vector (polygons, lines, points)","Yes","","20","20","Years","Humans","1212528","Humans","60626442","10","No","","No","","","Maybe"
"2024/09/24 12:48:15 pm CET","Ric","Arsenault","2012","Journal of Artificial Societies and Social Simulation","15","1","11","Yes","Yes","Yes","No","County or Municipality","Saskatchewan Canada","Raster (cells, pixels, patches)","Yes","4225","","100","Years","Humans;Organizations (businesses, NGOs, etc.)","422","Organizations","","4","No","","No","","","No"
"2024/09/24 12:58:12 pm CET","Ric","Silverman","2013","Journal of Artificial Societies and Social Simulation","16","4","9","Yes","Yes","Yes","Yes","Nation","United Kingdom","Raster (cells, pixels, patches)","Yes","5184","","300","Years","Humans","1600","Humans","","250","Yes","Personal computer (desktop/laptop)","No","","more agents;more data","Yes"
"2024/09/24 2:00:03 pm CET","Richard","Civico","2019","Journal of Artificial Societies and Social Simulation","22","4","1-27","Yes","Yes","Yes","Yes","County or Municipality","Grisons Canton Switzerland","","","","","1000","Years","Humans","200","Humans","","10","No","","No","","","No"
"2024/09/24 2:14:19 pm CET","Richard","Dou","2020","Journal of Artificial Societies and Social Simulation","23","1","1-29","Yes","Yes","Yes","Yes","Multiple Counties or Region","Sinop, Mato Grosso State, Brazil and Gannan Heilongjiang Province China","Raster (cells, pixels, patches)","No","","","","Years","Organizations (businesses, NGOs, etc.)","","","","","No","","No","","","Maybe"
"2024/09/24 2:25:29 pm CET","Richard","Chang","2023","Journal of Artificial Societies and Social Simulation","26","3","1-27","Yes","Yes","Yes","Yes","County or Municipality","California","Raster (cells, pixels, patches)","Yes","100","","100","Seasons / Quarters","Humans","10000","","","100","No","","No","","","Maybe"
"2024/09/24 2:33:40 pm CET","Doug","Chiba","2021","PLoS ONE","","","","Yes","Yes","Yes","Yes","Nation","Japan","","No","","","","Days","Humans","75614","Humans","125000000","","","","No","","including other social processes;more data","No"
"2024/09/24 3:35:59 pm CET","Doug","Hadley","2022","PLoS ONE","","","","Yes","Yes","Yes","Yes","Multiple Counties or Region","North Carolina","Paper does not say","No","","","180","Days","Humans","","","","","No","","No","","","No"
"2024/09/24 3:39:17 pm CET","Richard","Lee","2014","Journal of Artificial Societies and Social Simulation","17","2","1-20","Yes","Yes","Yes","Yes","Nation","South Korea","Not a spatially explicit model","N/A","","","","","","","","","100","No","","No","","including other social processes","No"
"2024/09/24 3:52:28 pm CET","Doug","Cocucci","2022","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","Ciudad Autónoma de Buenos Aires, Argentina.","","No","","","","Days","Humans","30000","","3000000","","No","","Yes","","more agents;more data;parallelization","No"
"2024/09/24 3:56:52 pm CET","Richard","Teran","2007","Journal of Artificial Societies and Social Simulation","10","3","1-25","Yes","Yes","Yes","Yes","Village","Caparo Forest Reserve Venezuela","Raster (cells, pixels, patches)","Yes","1600","","50","Years","Humans","20","","","5","No","","No","","","No"
"2024/09/24 4:47:59 pm CET","Richard","Rand","2015","Journal of Artificial Societies and Social Simulation","18","2","1-24","Yes","Yes","Yes","Yes","World","Twitter","Not a spatially explicit model","","","15000000","168","Hours","Humans","1231","Humans","1231","10","No","","No","","","Maybe"
"2024/09/24 5:07:29 pm CET","Richard","Etienne","2003","Journal of Artificial Societies and Social Simulation","6","2","","Yes","Yes","Yes","Yes","Village","Causse Mejan France","Raster (cells, pixels, patches)","Yes","5726","","60","Years","Humans","37","Humans","","","No","","No","","","No"
"2024/09/25 2:07:23 pm CET","Doug","Mintram","2022","PLoS ONE","","","","Yes","Yes","Yes","Yes","","UK","Paper does not say","No","","","29200","Days","Humans","10000","","","200","No","","No","","","No"
"2024/09/25 2:18:41 pm CET","Doug","Xie","2022","PLoS ONE","","","","Yes","Yes","Yes","Yes","","Qipan Township (QPT) and Yamansu Township (YMST)","","","","","","Years","Humans","","Humans","25279","","No","","No","","","No"
"2024/09/25 2:34:21 pm CET","Doug","Rakowski","2010","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Nation","Poland","Paper does not say","No","","","","Days","Households;Organizations (businesses, NGOs, etc.)","","Humans","38200000","","No","","No","","","Yes"
"2024/09/25 2:46:38 pm CET","Doug","Arsenault","2012","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","No","","","Raster (cells, pixels, patches)","Yes","4225","","35","Months","Organizations (businesses, NGOs, etc.)","","","","100","No","","No","","","No"
"2024/09/26 11:06:49 am CET","Ric","Bloomquist","2015","Journal of Artificial Societies and Social Simulation","18","2","20","Yes","Yes","Yes","Yes","Nation","community of 85,000 U.S. taxpayers","Other","","","","300","Years","Humans","85000","Humans","","4","No","","No","","","Yes"
"2024/09/26 11:16:55 am CET","Ric","Friege","2016","Journal of Artificial Societies and Social Simulation","19","1","4","Yes","Yes","Yes","Yes","Nation","Germany","Raster (cells, pixels, patches)","","360","","120","Months","Humans;Organizations (businesses, NGOs, etc.)","300","","","100000","No","","","","","Maybe"
