"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/08/15 10:25:08 am CET","Gary","Monteiro","2021","Computers, Environment and Urban Systems","87","","101623","I cannot be sure from reading the paper","Yes","Yes","Yes","City","Sao Paolo, Brazil","Vector (polygons, lines, points)","No","","","","","Humans;Human-Operated Machines;Organizations (businesses, NGOs, etc.)","500","Humans","","","Yes","Personal computer (desktop/laptop)","Maybe","to save computing time","including other social processes",""
"2024/08/15 10:53:31 am CET","Ric","Srbljinovic","2003","Journal of Artificial Societies and Social Simulation","6","1","","Yes","Yes","No","No","","","Not a spatially explicit model","","","","","","Humans","200","Humans","","1000","Yes","Personal computer (desktop/laptop)","No","","",""
"2024/08/15 10:55:48 am CET","Doug","Gurram","2019","Computers, Environment and Urban Systems","75","","22-34","Yes","Yes","Yes","Yes","County or Municipality","Hillsborough County Florida","","","","","","","","1200000","Humans","1200000","","No","","No","","more environmental dynamics",""
"2024/08/15 11:02:55 am CET","Gary","Shin","2023","Computers, Environment and Urban Systems","99","","101894","Yes","Yes","Yes","Yes","City","Seoul CBD, South Korea (16.7km^2)","Raster (cells, pixels, patches)","Yes","29760","","","","Humans;Human-Operated Machines","4432","Humans","","","Yes","Organization's computing cluster","Yes","to save computing time","larger spatial extent;more fine-grained spatial representation;more environmental dynamics;including other social processes",""
"2024/08/15 11:15:49 am CET","Gary","Moreno","2007","Environmental Modelling and Software","22","","664-673","Yes","Yes","Yes","Yes","","Caparo Forest Reserve, Venezuela (53358 Ha)","Raster (cells, pixels, patches)","Yes","13340","","","","Humans;Organizations (businesses, NGOs, etc.);Municipal/Local Governments","100","Humans","","3","No","","Yes","to save computing time","more complicated decision making algorithms;more environmental dynamics;including other social processes;including new classes of agent",""
"2024/08/15 11:16:37 am CET","Ric","Khademi,","2018","Smart Innovation, Systems and Technologies","93","1","43-58","Yes","Yes","Yes","Yes","County or Municipality","Los Angeles County","Not a spatially explicit model","","","","","","","10000","Humans","9818605","200","No","","Yes","for the sake of simplicity","larger social network",""
"2024/08/15 11:23:49 am CET","Ric","Ishino","2019","Smart Innovation, Systems and Technologies","96","","331–340","Yes","Yes","Yes","Yes","Nation","japa","Not a spatially explicit model","","","","","","Humans;Organizations (businesses, NGOs, etc.)","1000","Humans","","","No","","No","","more data",""
"2024/08/15 11:29:35 am CET","Gary","Zhang","2011","Environmental Modelling and Software","26","","482-491","Yes","Yes","Yes","No","Multiple Counties or Region","Jiangsu Province, China","Not a spatially explicit model","N/A","","","","","Organizations (businesses, NGOs, etc.)","45","Organizations","45","50","No","","No","","more complicated decision making algorithms;including other social processes",""
"2024/08/15 11:39:42 am CET","Ric","Ziervogel","2005","Agricultural Systems","83","","1-26","Yes","Yes","Yes","Yes","Nation","Lesothopop","Not a spatially explicit model","","","","","","Humans;Organizations (businesses, NGOs, etc.)","700","Humans","","1500","No","","No","","",""
"2024/08/15 11:45:19 am CET","Gary","Balbi","2013","Environmental Modelling and Software","45","","29-51","Yes","Yes","Yes","Yes","County or Municipality","Auronzo di Cadore, Italy","Raster (cells, pixels, patches)","Yes","375","","","","Humans","9500","Humans","","5600","No","","No","","including other social processes",""
